FTHG,FTAG,Date,season,HomeTeam,AwayTeam,FTR
4,1,06-10-2012,2012/2013,Chelsea,Norwich City,H
2,0,07-10-2012,2012/2013,Tottenham Hotspur,Aston Villa,H
2,2,07-10-2012,2012/2013,Southampton,Fulham,D
0,0,07-10-2012,2012/2013,Liverpool,Stoke City,D
0,3,07-10-2012,2012/2013,Newcastle United,Manchester United,A
1,0,20-10-2012,2012/2013,Liverpool,Reading,H
2,4,20-10-2012,2012/2013,Tottenham Hotspur,Chelsea,A
1,0,20-10-2012,2012/2013,Norwich City,Arsenal,H
4,1,20-10-2012,2012/2013,West Ham United,Southampton,H
1,0,20-10-2012,2012/2013,Fulham,Aston Villa,H
2,1,20-10-2012,2012/2013,Swansea City,Wigan Athletic,H
4,2,20-10-2012,2012/2013,Manchester United,Stoke City,H
1,2,20-10-2012,2012/2013,West Bromwich Albion,Manchester City,A
1,1,21-10-2012,2012/2013,Queens Park Rangers,Everton,D
1,1,21-10-2012,2012/2013,Sunderland,Newcastle United,D
1,0,27-10-2012,2012/2013,Manchester City,Swansea City,H
2,1,27-10-2012,2012/2013,Wigan Athletic,West Ham United,H
0,0,27-10-2012,2012/2013,Stoke City,Sunderland,D
1,0,27-10-2012,2012/2013,Arsenal,Queens Park Rangers,H
1,1,27-10-2012,2012/2013,Aston Villa,Norwich City,D
3,3,27-10-2012,2012/2013,Reading,Fulham,D
1,2,28-10-2012,2012/2013,Southampton,Tottenham Hotspur,A
2,3,28-10-2012,2012/2013,Chelsea,Manchester United,A
2,1,28-10-2012,2012/2013,Newcastle United,West Bromwich Albion,H
2,2,28-10-2012,2012/2013,Everton,Liverpool,D
0,1,03-11-2012,2012/2013,Sunderland,Aston Villa,A
2,2,03-11-2012,2012/2013,Fulham,Everton,D
1,1,03-11-2012,2012/2013,Swansea City,Chelsea,D
2,1,03-11-2012,2012/2013,Manchester United,Arsenal,H
0,0,03-11-2012,2012/2013,West Ham United,Manchester City,D
0,1,03-11-2012,2012/2013,Tottenham Hotspur,Wigan Athletic,A
1,0,03-11-2012,2012/2013,Norwich City,Stoke City,H
1,1,04-11-2012,2012/2013,Queens Park Rangers,Reading,D
1,1,04-11-2012,2012/2013,Liverpool,Newcastle United,D
2,0,05-11-2012,2012/2013,West Bromwich Albion,Southampton,H
2,3,10-11-2012,2012/2013,Aston Villa,Manchester United,A
1,1,10-11-2012,2012/2013,Southampton,Swansea City,D
1,0,10-11-2012,2012/2013,Stoke City,Queens Park Rangers,H
1,2,10-11-2012,2012/2013,Wigan Athletic,West Bromwich Albion,A
2,1,10-11-2012,2012/2013,Everton,Sunderland,H
0,0,10-11-2012,2012/2013,Reading,Norwich City,D
3,3,10-11-2012,2012/2013,Arsenal,Fulham,D
0,1,11-11-2012,2012/2013,Newcastle United,West Ham United,A
2,1,11-11-2012,2012/2013,Manchester City,Tottenham Hotspur,H
1,1,11-11-2012,2012/2013,Chelsea,Liverpool,D
3,0,17-11-2012,2012/2013,Liverpool,Wigan Athletic,H
1,3,17-11-2012,2012/2013,Queens Park Rangers,Southampton,A
2,1,17-11-2012,2012/2013,Reading,Everton,H
5,0,17-11-2012,2012/2013,Manchester City,Aston Villa,H
1,2,17-11-2012,2012/2013,Newcastle United,Swansea City,A
2,1,17-11-2012,2012/2013,West Bromwich Albion,Chelsea,H
1,0,17-11-2012,2012/2013,Norwich City,Manchester United,H
5,2,17-11-2012,2012/2013,Arsenal,Tottenham Hotspur,H
1,3,18-11-2012,2012/2013,Fulham,Sunderland,A
1,1,19-11-2012,2012/2013,West Ham United,Stoke City,D
1,0,24-11-2012,2012/2013,Stoke City,Fulham,H
0,0,24-11-2012,2012/2013,Aston Villa,Arsenal,D
1,1,24-11-2012,2012/2013,Everton,Norwich City,D
3,1,24-11-2012,2012/2013,Manchester United,Queens Park Rangers,H
3,2,24-11-2012,2012/2013,Wigan Athletic,Reading,H
2,4,24-11-2012,2012/2013,Sunderland,West Bromwich Albion,A
0,0,25-11-2012,2012/2013,Chelsea,Manchester City,D
2,0,25-11-2012,2012/2013,Southampton,Newcastle United,H
0,0,25-11-2012,2012/2013,Swansea City,Liverpool,D
3,1,25-11-2012,2012/2013,Tottenham Hotspur,West Ham United,H
0,0,27-11-2012,2012/2013,Sunderland,Queens Park Rangers,D
1,0,27-11-2012,2012/2013,Aston Villa,Reading,H
0,0,28-11-2012,2012/2013,Chelsea,Fulham,D
3,1,28-11-2012,2012/2013,Swansea City,West Bromwich Albion,H
2,1,28-11-2012,2012/2013,Tottenham Hotspur,Liverpool,H
1,1,28-11-2012,2012/2013,Southampton,Norwich City,D
2,1,28-11-2012,2012/2013,Stoke City,Newcastle United,H
0,2,28-11-2012,2012/2013,Wigan Athletic,Manchester City,A
1,1,28-11-2012,2012/2013,Everton,Arsenal,D
1,0,28-11-2012,2012/2013,Manchester United,West Ham United,H
0,2,01-12-2012,2012/2013,Arsenal,Swansea City,A
3,1,01-12-2012,2012/2013,West Ham United,Chelsea,H
3,4,01-12-2012,2012/2013,Reading,Manchester United,A
0,1,01-12-2012,2012/2013,West Bromwich Albion,Stoke City,A
1,0,01-12-2012,2012/2013,Liverpool,Southampton,H
0,3,01-12-2012,2012/2013,Fulham,Tottenham Hotspur,A
1,1,01-12-2012,2012/2013,Manchester City,Everton,D
1,1,01-12-2012,2012/2013,Queens Park Rangers,Aston Villa,D
2,1,02-12-2012,2012/2013,Norwich City,Sunderland,H
3,0,03-12-2012,2012/2013,Newcastle United,Wigan Athletic,H
0,0,08-12-2012,2012/2013,Aston Villa,Stoke City,D
3,4,08-12-2012,2012/2013,Swansea City,Norwich City,A
1,0,08-12-2012,2012/2013,Southampton,Reading,H
2,0,08-12-2012,2012/2013,Arsenal,West Bromwich Albion,H
1,3,08-12-2012,2012/2013,Sunderland,Chelsea,A
2,2,08-12-2012,2012/2013,Wigan Athletic,Queens Park Rangers,D
2,3,09-12-2012,2012/2013,West Ham United,Liverpool,A
2,3,09-12-2012,2012/2013,Manchester City,Manchester United,A
2,1,09-12-2012,2012/2013,Everton,Tottenham Hotspur,H
2,1,10-12-2012,2012/2013,Fulham,Newcastle United,H
3,0,11-12-2012,2012/2013,Sunderland,Reading,H
1,3,15-12-2012,2012/2013,Newcastle United,Manchester City,A
3,1,15-12-2012,2012/2013,Manchester United,Sunderland,H
1,3,15-12-2012,2012/2013,Liverpool,Aston Villa,A
2,1,15-12-2012,2012/2013,Norwich City,Wigan Athletic,H
1,1,15-12-2012,2012/2013,Stoke City,Everton,D
2,1,15-12-2012,2012/2013,Queens Park Rangers,Fulham,H
1,0,16-12-2012,2012/2013,Tottenham Hotspur,Swansea City,H
0,0,16-12-2012,2012/2013,West Bromwich Albion,West Ham United,D
2,5,17-12-2012,2012/2013,Reading,Arsenal,A
0,0,22-12-2012,2012/2013,Tottenham Hotspur,Stoke City,D
0,1,22-12-2012,2012/2013,Southampton,Sunderland,A
1,2,22-12-2012,2012/2013,West Ham United,Everton,A
0,1,22-12-2012,2012/2013,Wigan Athletic,Arsenal,A
1,0,22-12-2012,2012/2013,Newcastle United,Queens Park Rangers,H
2,1,22-12-2012,2012/2013,West Bromwich Albion,Norwich City,H
4,0,22-12-2012,2012/2013,Liverpool,Fulham,H
1,0,22-12-2012,2012/2013,Manchester City,Reading,H
8,0,23-12-2012,2012/2013,Chelsea,Aston Villa,H
1,1,23-12-2012,2012/2013,Swansea City,Manchester United,D
1,0,26-12-2012,2012/2013,Sunderland,Manchester City,H
4,3,26-12-2012,2012/2013,Manchester United,Newcastle United,H
2,1,26-12-2012,2012/2013,Everton,Wigan Athletic,H
1,2,26-12-2012,2012/2013,Queens Park Rangers,West Bromwich Albion,A
0,0,26-12-2012,2012/2013,Reading,Swansea City,D
3,1,26-12-2012,2012/2013,Stoke City,Liverpool,H
1,1,26-12-2012,2012/2013,Fulham,Southampton,D
0,1,26-12-2012,2012/2013,Norwich City,Chelsea,A
0,4,26-12-2012,2012/2013,Aston Villa,Tottenham Hotspur,A
2,0,29-12-2012,2012/2013,Manchester United,West Bromwich Albion,H
1,2,29-12-2012,2012/2013,Fulham,Swansea City,A
3,3,29-12-2012,2012/2013,Stoke City,Southampton,D
7,3,29-12-2012,2012/2013,Arsenal,Newcastle United,H
3,4,29-12-2012,2012/2013,Norwich City,Manchester City,A
1,0,29-12-2012,2012/2013,Reading,West Ham United,H
1,2,29-12-2012,2012/2013,Sunderland,Tottenham Hotspur,A
0,3,29-12-2012,2012/2013,Aston Villa,Wigan Athletic,A
0,3,30-12-2012,2012/2013,Queens Park Rangers,Liverpool,A
1,2,30-12-2012,2012/2013,Everton,Chelsea,A
3,0,01-01-2013,2012/2013,Manchester City,Stoke City,H
1,1,01-01-2013,2012/2013,Southampton,Arsenal,D
1,2,01-01-2013,2012/2013,West Bromwich Albion,Fulham,A
2,1,01-01-2013,2012/2013,West Ham United,Norwich City,H
3,1,01-01-2013,2012/2013,Tottenham Hotspur,Reading,H
2,2,01-01-2013,2012/2013,Swansea City,Aston Villa,D
0,4,01-01-2013,2012/2013,Wigan Athletic,Manchester United,A
0,1,02-01-2013,2012/2013,Chelsea,Queens Park Rangers,A
3,0,02-01-2013,2012/2013,Liverpool,Sunderland,H
1,2,02-01-2013,2012/2013,Newcastle United,Everton,A
0,4,12-01-2013,2012/2013,Stoke City,Chelsea,A
0,0,12-01-2013,2012/2013,Norwich City,Newcastle United,D
0,1,12-01-2013,2012/2013,Aston Villa,Southampton,A
0,0,12-01-2013,2012/2013,Everton,Swansea City,D
3,0,12-01-2013,2012/2013,Sunderland,West Ham United,H
0,0,12-01-2013,2012/2013,Queens Park Rangers,Tottenham Hotspur,D
1,1,12-01-2013,2012/2013,Fulham,Wigan Athletic,D
3,2,12-01-2013,2012/2013,Reading,West Bromwich Albion,H
2,1,13-01-2013,2012/2013,Manchester United,Liverpool,H
0,2,13-01-2013,2012/2013,Arsenal,Manchester City,A
2,2,16-01-2013,2012/2013,Chelsea,Southampton,D
2,0,19-01-2013,2012/2013,Manchester City,Fulham,H
5,0,19-01-2013,2012/2013,Liverpool,Norwich City,H
2,3,19-01-2013,2012/2013,Wigan Athletic,Sunderland,A
3,1,19-01-2013,2012/2013,Swansea City,Stoke City,H
2,2,19-01-2013,2012/2013,West Bromwich Albion,Aston Villa,D
1,1,19-01-2013,2012/2013,West Ham United,Queens Park Rangers,D
1,2,19-01-2013,2012/2013,Newcastle United,Reading,A
2,1,20-01-2013,2012/2013,Chelsea,Arsenal,H
1,1,20-01-2013,2012/2013,Tottenham Hotspur,Manchester United,D
0,0,21-01-2013,2012/2013,Southampton,Everton,D
5,1,23-01-2013,2012/2013,Arsenal,West Ham United,H
2,2,29-01-2013,2012/2013,Stoke City,Wigan Athletic,D
1,2,29-01-2013,2012/2013,Aston Villa,Newcastle United,A
0,0,29-01-2013,2012/2013,Sunderland,Swansea City,D
0,0,29-01-2013,2012/2013,Queens Park Rangers,Manchester City,D
3,1,30-01-2013,2012/2013,Fulham,West Ham United,H
2,1,30-01-2013,2012/2013,Everton,West Bromwich Albion,H
2,1,30-01-2013,2012/2013,Manchester United,Southampton,H
2,2,30-01-2013,2012/2013,Reading,Chelsea,D
2,2,30-01-2013,2012/2013,Arsenal,Liverpool,D
1,1,30-01-2013,2012/2013,Norwich City,Tottenham Hotspur,D
2,1,02-02-2013,2012/2013,Reading,Sunderland,H
3,3,02-02-2013,2012/2013,Everton,Aston Villa,D
3,2,02-02-2013,2012/2013,Newcastle United,Chelsea,H
0,0,02-02-2013,2012/2013,Queens Park Rangers,Norwich City,D
1,0,02-02-2013,2012/2013,West Ham United,Swansea City,H
1,0,02-02-2013,2012/2013,Arsenal,Stoke City,H
2,2,02-02-2013,2012/2013,Wigan Athletic,Southampton,D
0,1,02-02-2013,2012/2013,Fulham,Manchester United,A
2,2,03-02-2013,2012/2013,Manchester City,Liverpool,D
0,1,03-02-2013,2012/2013,West Bromwich Albion,Tottenham Hotspur,A
4,1,09-02-2013,2012/2013,Chelsea,Wigan Athletic,H
2,1,09-02-2013,2012/2013,Tottenham Hotspur,Newcastle United,H
0,0,09-02-2013,2012/2013,Norwich City,Fulham,D
4,1,09-02-2013,2012/2013,Swansea City,Queens Park Rangers,H
2,1,09-02-2013,2012/2013,Stoke City,Reading,H
0,1,09-02-2013,2012/2013,Sunderland,Arsenal,A
3,1,09-02-2013,2012/2013,Southampton,Manchester City,H
2,1,10-02-2013,2012/2013,Aston Villa,West Ham United,H
2,0,10-02-2013,2012/2013,Manchester United,Everton,H
0,2,11-02-2013,2012/2013,Liverpool,West Bromwich Albion,A
5,0,17-02-2013,2012/2013,Liverpool,Swansea City,H
2,1,23-02-2013,2012/2013,West Bromwich Albion,Sunderland,H
0,2,23-02-2013,2012/2013,Queens Park Rangers,Manchester United,A
2,1,23-02-2013,2012/2013,Norwich City,Everton,H
2,1,23-02-2013,2012/2013,Arsenal,Aston Villa,H
1,0,23-02-2013,2012/2013,Fulham,Stoke City,H
0,3,23-02-2013,2012/2013,Reading,Wigan Athletic,A
4,2,24-02-2013,2012/2013,Newcastle United,Southampton,H
2,0,24-02-2013,2012/2013,Manchester City,Chelsea,H
2,3,25-02-2013,2012/2013,West Ham United,Tottenham Hotspur,A
1,2,02-03-2013,2012/2013,Southampton,Queens Park Rangers,A
1,0,02-03-2013,2012/2013,Swansea City,Newcastle United,H
3,1,02-03-2013,2012/2013,Everton,Reading,H
1,0,02-03-2013,2012/2013,Chelsea,West Bromwich Albion,H
0,1,02-03-2013,2012/2013,Stoke City,West Ham United,A
2,2,02-03-2013,2012/2013,Sunderland,Fulham,D
0,4,02-03-2013,2012/2013,Wigan Athletic,Liverpool,A
4,0,02-03-2013,2012/2013,Manchester United,Norwich City,H
2,1,03-03-2013,2012/2013,Tottenham Hotspur,Arsenal,H
0,1,04-03-2013,2012/2013,Aston Villa,Manchester City,A
0,0,09-03-2013,2012/2013,Norwich City,Southampton,D
2,1,09-03-2013,2012/2013,West Bromwich Albion,Swansea City,H
1,2,09-03-2013,2012/2013,Reading,Aston Villa,A
3,1,09-03-2013,2012/2013,Queens Park Rangers,Sunderland,H
3,2,10-03-2013,2012/2013,Liverpool,Tottenham Hotspur,H
2,1,10-03-2013,2012/2013,Newcastle United,Stoke City,H
2,0,16-03-2013,2012/2013,Everton,Manchester City,H
0,0,16-03-2013,2012/2013,Stoke City,West Bromwich Albion,D
3,1,16-03-2013,2012/2013,Southampton,Liverpool,H
0,2,16-03-2013,2012/2013,Swansea City,Arsenal,A
3,2,16-03-2013,2012/2013,Aston Villa,Queens Park Rangers,H
1,0,16-03-2013,2012/2013,Manchester United,Reading,H
2,1,17-03-2013,2012/2013,Wigan Athletic,Newcastle United,H
0,1,17-03-2013,2012/2013,Tottenham Hotspur,Fulham,A
2,0,17-03-2013,2012/2013,Chelsea,West Ham United,H
1,1,17-03-2013,2012/2013,Sunderland,Norwich City,D
1,2,30-03-2013,2012/2013,Swansea City,Tottenham Hotspur,A
4,0,30-03-2013,2012/2013,Manchester City,Newcastle United,H
4,1,30-03-2013,2012/2013,Arsenal,Reading,H
0,1,30-03-2013,2012/2013,Sunderland,Manchester United,A
2,1,30-03-2013,2012/2013,Southampton,Chelsea,H
3,1,30-03-2013,2012/2013,West Ham United,West Bromwich Albion,H
1,0,30-03-2013,2012/2013,Everton,Stoke City,H
1,0,30-03-2013,2012/2013,Wigan Athletic,Norwich City,H
1,2,31-03-2013,2012/2013,Aston Villa,Liverpool,A
3,2,01-04-2013,2012/2013,Fulham,Queens Park Rangers,H
2,2,06-04-2013,2012/2013,Norwich City,Swansea City,D
0,2,06-04-2013,2012/2013,Reading,Southampton,A
1,3,06-04-2013,2012/2013,Stoke City,Aston Villa,A
1,2,06-04-2013,2012/2013,West Bromwich Albion,Arsenal,A
2,1,07-04-2013,2012/2013,Chelsea,Sunderland,H
1,0,07-04-2013,2012/2013,Newcastle United,Fulham,H
1,1,07-04-2013,2012/2013,Queens Park Rangers,Wigan Athletic,D
0,0,07-04-2013,2012/2013,Liverpool,West Ham United,D
2,2,07-04-2013,2012/2013,Tottenham Hotspur,Everton,D
1,2,08-04-2013,2012/2013,Manchester United,Manchester City,A
0,0,13-04-2013,2012/2013,Reading,Liverpool,D
3,1,13-04-2013,2012/2013,Arsenal,Norwich City,H
1,1,13-04-2013,2012/2013,Aston Villa,Fulham,D
2,0,13-04-2013,2012/2013,Everton,Queens Park Rangers,H
1,1,13-04-2013,2012/2013,Southampton,West Ham United,D
0,3,14-04-2013,2012/2013,Newcastle United,Sunderland,A
0,2,14-04-2013,2012/2013,Stoke City,Manchester United,A
0,0,16-04-2013,2012/2013,Arsenal,Everton,D
0,3,17-04-2013,2012/2013,Fulham,Chelsea,A
1,0,17-04-2013,2012/2013,Manchester City,Wigan Athletic,H
2,2,17-04-2013,2012/2013,West Ham United,Manchester United,D
0,1,20-04-2013,2012/2013,Fulham,Arsenal,A
1,1,20-04-2013,2012/2013,West Bromwich Albion,Newcastle United,D
0,2,20-04-2013,2012/2013,Queens Park Rangers,Stoke City,A
2,1,20-04-2013,2012/2013,Norwich City,Reading,H
0,0,20-04-2013,2012/2013,Swansea City,Southampton,D
2,0,20-04-2013,2012/2013,West Ham United,Wigan Athletic,H
1,0,20-04-2013,2012/2013,Sunderland,Everton,H
2,2,21-04-2013,2012/2013,Liverpool,Chelsea,D
3,1,21-04-2013,2012/2013,Tottenham Hotspur,Manchester City,H
3,0,22-04-2013,2012/2013,Manchester United,Aston Villa,H
1,0,27-04-2013,2012/2013,Everton,Fulham,H
0,3,27-04-2013,2012/2013,Southampton,West Bromwich Albion,A
2,2,27-04-2013,2012/2013,Wigan Athletic,Tottenham Hotspur,D
0,6,27-04-2013,2012/2013,Newcastle United,Liverpool,A
1,0,27-04-2013,2012/2013,Stoke City,Norwich City,H
2,1,27-04-2013,2012/2013,Manchester City,West Ham United,H
0,0,28-04-2013,2012/2013,Reading,Queens Park Rangers,D
1,1,28-04-2013,2012/2013,Arsenal,Manchester United,D
2,0,28-04-2013,2012/2013,Chelsea,Swansea City,H
6,1,29-04-2013,2012/2013,Aston Villa,Sunderland,H
0,0,04-05-2013,2012/2013,Swansea City,Manchester City,D
2,3,04-05-2013,2012/2013,West Bromwich Albion,Wigan Athletic,A
2,4,04-05-2013,2012/2013,Fulham,Reading,A
0,0,04-05-2013,2012/2013,West Ham United,Newcastle United,D
1,2,04-05-2013,2012/2013,Norwich City,Aston Villa,A
0,1,04-05-2013,2012/2013,Queens Park Rangers,Arsenal,A
1,0,04-05-2013,2012/2013,Tottenham Hotspur,Southampton,H
0,1,05-05-2013,2012/2013,Manchester United,Chelsea,A
0,0,05-05-2013,2012/2013,Liverpool,Everton,D
1,1,06-05-2013,2012/2013,Sunderland,Stoke City,D
2,3,07-05-2013,2012/2013,Wigan Athletic,Swansea City,A
1,0,07-05-2013,2012/2013,Manchester City,West Bromwich Albion,H
2,2,08-05-2013,2012/2013,Chelsea,Tottenham Hotspur,D
1,2,11-05-2013,2012/2013,Aston Villa,Chelsea,A
1,2,12-05-2013,2012/2013,Stoke City,Tottenham Hotspur,A
2,1,12-05-2013,2012/2013,Manchester United,Swansea City,H
1,1,12-05-2013,2012/2013,Sunderland,Southampton,D
2,0,12-05-2013,2012/2013,Everton,West Ham United,H
1,3,12-05-2013,2012/2013,Fulham,Liverpool,A
1,2,12-05-2013,2012/2013,Queens Park Rangers,Newcastle United,A
4,0,12-05-2013,2012/2013,Norwich City,West Bromwich Albion,H
0,2,14-05-2013,2012/2013,Reading,Manchester City,A
4,1,14-05-2013,2012/2013,Arsenal,Wigan Athletic,H
5,5,19-05-2013,2012/2013,West Bromwich Albion,Manchester United,D
2,3,19-05-2013,2012/2013,Manchester City,Norwich City,A
1,0,19-05-2013,2012/2013,Tottenham Hotspur,Sunderland,H
0,3,19-05-2013,2012/2013,Swansea City,Fulham,A
4,2,19-05-2013,2012/2013,West Ham United,Reading,H
1,0,19-05-2013,2012/2013,Liverpool,Queens Park Rangers,H
2,1,19-05-2013,2012/2013,Chelsea,Everton,H
1,1,19-05-2013,2012/2013,Southampton,Stoke City,D
2,2,19-05-2013,2012/2013,Wigan Athletic,Aston Villa,D
0,1,19-05-2013,2012/2013,Newcastle United,Arsenal,A
