FTHG,FTAG,Date,season,HomeTeam,AwayTeam,FTR
2,1,18-08-2012,2012/2013,Newcastle United,Tottenham Hotspur,H
1,1,18-08-2012,2012/2013,Reading,Stoke City,D
0,0,18-08-2012,2012/2013,Arsenal,Sunderland,D
1,0,18-08-2012,2012/2013,West Ham United,Aston Villa,H
3,0,18-08-2012,2012/2013,West Bromwich Albion,Liverpool,H
5,0,18-08-2012,2012/2013,Fulham,Norwich City,H
0,5,18-08-2012,2012/2013,Queens Park Rangers,Swansea City,A
3,2,19-08-2012,2012/2013,Manchester City,Southampton,H
0,2,19-08-2012,2012/2013,Wigan Athletic,Chelsea,A
1,0,20-08-2012,2012/2013,Everton,Manchester United,H
4,2,22-08-2012,2012/2013,Chelsea,Reading,H
1,3,25-08-2012,2012/2013,Aston Villa,Everton,A
3,0,25-08-2012,2012/2013,Swansea City,West Ham United,H
1,1,25-08-2012,2012/2013,Tottenham Hotspur,West Bromwich Albion,D
1,1,25-08-2012,2012/2013,Norwich City,Queens Park Rangers,D
3,2,25-08-2012,2012/2013,Manchester United,Fulham,H
0,2,25-08-2012,2012/2013,Southampton,Wigan Athletic,A
2,0,25-08-2012,2012/2013,Chelsea,Newcastle United,H
0,0,26-08-2012,2012/2013,Stoke City,Arsenal,D
2,2,26-08-2012,2012/2013,Liverpool,Manchester City,D
1,1,01-09-2012,2012/2013,Tottenham Hotspur,Norwich City,D
2,0,01-09-2012,2012/2013,West Bromwich Albion,Everton,H
2,2,01-09-2012,2012/2013,Wigan Athletic,Stoke City,D
2,2,01-09-2012,2012/2013,Swansea City,Sunderland,D
3,1,01-09-2012,2012/2013,Manchester City,Queens Park Rangers,H
3,0,01-09-2012,2012/2013,West Ham United,Fulham,H
2,3,02-09-2012,2012/2013,Southampton,Manchester United,A
1,1,02-09-2012,2012/2013,Newcastle United,Aston Villa,D
0,2,02-09-2012,2012/2013,Liverpool,Arsenal,A
6,1,15-09-2012,2012/2013,Arsenal,Southampton,H
4,0,15-09-2012,2012/2013,Manchester United,Wigan Athletic,H
2,0,15-09-2012,2012/2013,Aston Villa,Swansea City,H
0,0,15-09-2012,2012/2013,Norwich City,West Ham United,D
3,0,15-09-2012,2012/2013,Fulham,West Bromwich Albion,H
1,1,15-09-2012,2012/2013,Stoke City,Manchester City,D
1,1,15-09-2012,2012/2013,Sunderland,Liverpool,D
0,0,15-09-2012,2012/2013,Queens Park Rangers,Chelsea,D
1,3,16-09-2012,2012/2013,Reading,Tottenham Hotspur,A
2,2,17-09-2012,2012/2013,Everton,Newcastle United,D
1,2,22-09-2012,2012/2013,Wigan Athletic,Fulham,A
0,3,22-09-2012,2012/2013,Swansea City,Everton,A
1,1,22-09-2012,2012/2013,West Ham United,Sunderland,D
1,0,22-09-2012,2012/2013,West Bromwich Albion,Reading,H
1,0,22-09-2012,2012/2013,Chelsea,Stoke City,H
4,1,22-09-2012,2012/2013,Southampton,Aston Villa,H
1,1,23-09-2012,2012/2013,Manchester City,Arsenal,D
1,2,23-09-2012,2012/2013,Liverpool,Manchester United,A
1,0,23-09-2012,2012/2013,Newcastle United,Norwich City,H
2,1,23-09-2012,2012/2013,Tottenham Hotspur,Queens Park Rangers,H
1,2,29-09-2012,2012/2013,Arsenal,Chelsea,A
2,5,29-09-2012,2012/2013,Norwich City,Liverpool,A
3,1,29-09-2012,2012/2013,Everton,Southampton,H
1,0,29-09-2012,2012/2013,Sunderland,Wigan Athletic,H
2,2,29-09-2012,2012/2013,Reading,Newcastle United,D
1,2,29-09-2012,2012/2013,Fulham,Manchester City,A
2,3,29-09-2012,2012/2013,Manchester United,Tottenham Hotspur,A
2,0,29-09-2012,2012/2013,Stoke City,Swansea City,H
1,1,30-09-2012,2012/2013,Aston Villa,West Bromwich Albion,D
1,2,01-10-2012,2012/2013,Queens Park Rangers,West Ham United,A
3,0,06-10-2012,2012/2013,Manchester City,Sunderland,H
1,3,06-10-2012,2012/2013,West Ham United,Arsenal,A
2,2,06-10-2012,2012/2013,Swansea City,Reading,D
2,2,06-10-2012,2012/2013,Wigan Athletic,Everton,D
3,2,06-10-2012,2012/2013,West Bromwich Albion,Queens Park Rangers,H
