FTHG,FTAG,Date,season,HomeTeam,AwayTeam,FTR
2,1,16-08-2008,2008/2009,Middlesbrough,Tottenham Hotspur,H
2,3,16-08-2008,2008/2009,Everton,Blackburn Rovers,A
0,1,16-08-2008,2008/2009,Sunderland,Liverpool,A
2,1,16-08-2008,2008/2009,Hull City,Fulham,H
2,1,16-08-2008,2008/2009,West Ham United,Wigan Athletic,H
3,1,16-08-2008,2008/2009,Bolton Wanderers,Stoke City,H
1,0,16-08-2008,2008/2009,Arsenal,West Bromwich Albion,H
4,0,17-08-2008,2008/2009,Chelsea,Portsmouth,H
4,2,17-08-2008,2008/2009,Aston Villa,Manchester City,H
1,1,17-08-2008,2008/2009,Manchester United,Newcastle United,D
1,0,23-08-2008,2008/2009,Newcastle United,Bolton Wanderers,H
1,2,23-08-2008,2008/2009,West Bromwich Albion,Everton,A
1,0,23-08-2008,2008/2009,Fulham,Arsenal,H
3,2,23-08-2008,2008/2009,Stoke City,Aston Villa,H
1,2,23-08-2008,2008/2009,Tottenham Hotspur,Sunderland,A
2,1,23-08-2008,2008/2009,Liverpool,Middlesbrough,H
1,1,23-08-2008,2008/2009,Blackburn Rovers,Hull City,D
0,1,24-08-2008,2008/2009,Wigan Athletic,Chelsea,A
3,0,24-08-2008,2008/2009,Manchester City,West Ham United,H
0,1,25-08-2008,2008/2009,Portsmouth,Manchester United,A
0,3,30-08-2008,2008/2009,Everton,Portsmouth,A
0,0,30-08-2008,2008/2009,Bolton Wanderers,West Bromwich Albion,D
2,1,30-08-2008,2008/2009,Middlesbrough,Stoke City,H
3,0,30-08-2008,2008/2009,Arsenal,Newcastle United,H
4,1,30-08-2008,2008/2009,West Ham United,Blackburn Rovers,H
0,5,30-08-2008,2008/2009,Hull City,Wigan Athletic,A
0,3,31-08-2008,2008/2009,Sunderland,Manchester City,A
1,1,31-08-2008,2008/2009,Chelsea,Tottenham Hotspur,D
0,0,31-08-2008,2008/2009,Aston Villa,Liverpool,D
1,2,13-09-2008,2008/2009,Newcastle United,Hull City,A
1,1,13-09-2008,2008/2009,Wigan Athletic,Sunderland,D
0,4,13-09-2008,2008/2009,Blackburn Rovers,Arsenal,A
2,1,13-09-2008,2008/2009,Portsmouth,Middlesbrough,H
2,1,13-09-2008,2008/2009,Liverpool,Manchester United,H
2,1,13-09-2008,2008/2009,Fulham,Bolton Wanderers,H
1,3,13-09-2008,2008/2009,Manchester City,Chelsea,A
3,2,13-09-2008,2008/2009,West Bromwich Albion,West Ham United,H
2,3,14-09-2008,2008/2009,Stoke City,Everton,A
1,2,15-09-2008,2008/2009,Tottenham Hotspur,Aston Villa,A
2,0,20-09-2008,2008/2009,Sunderland,Middlesbrough,H
1,3,20-09-2008,2008/2009,Bolton Wanderers,Arsenal,A
0,0,20-09-2008,2008/2009,Liverpool,Stoke City,D
1,0,20-09-2008,2008/2009,Blackburn Rovers,Fulham,H
3,1,20-09-2008,2008/2009,West Ham United,Newcastle United,H
1,1,21-09-2008,2008/2009,Chelsea,Manchester United,D
0,0,21-09-2008,2008/2009,Tottenham Hotspur,Wigan Athletic,D
2,2,21-09-2008,2008/2009,Hull City,Everton,D
6,0,21-09-2008,2008/2009,Manchester City,Portsmouth,H
1,2,21-09-2008,2008/2009,West Bromwich Albion,Aston Villa,A
0,2,27-09-2008,2008/2009,Stoke City,Chelsea,A
1,2,27-09-2008,2008/2009,Fulham,West Ham United,A
1,2,27-09-2008,2008/2009,Newcastle United,Blackburn Rovers,A
1,2,27-09-2008,2008/2009,Arsenal,Hull City,A
0,1,27-09-2008,2008/2009,Middlesbrough,West Bromwich Albion,A
