FTHG,FTAG,Date,season,HomeTeam,AwayTeam,FTR
0,0,13-08-2011,2011/2012,Newcastle United,Arsenal,D
1,2,13-08-2011,2011/2012,Blackburn Rovers,Wolverhampton Wanderers,A
0,0,13-08-2011,2011/2012,Fulham,Aston Villa,D
0,4,13-08-2011,2011/2012,Queens Park Rangers,Bolton Wanderers,A
1,1,13-08-2011,2011/2012,Wigan Athletic,Norwich City,D
1,1,13-08-2011,2011/2012,Liverpool,Sunderland,D
0,0,14-08-2011,2011/2012,Stoke City,Chelsea,D
1,2,14-08-2011,2011/2012,West Bromwich Albion,Manchester United,A
4,0,15-08-2011,2011/2012,Manchester City,Swansea City,H
0,2,20-08-2011,2011/2012,Arsenal,Liverpool,A
3,1,20-08-2011,2011/2012,Aston Villa,Blackburn Rovers,H
0,1,20-08-2011,2011/2012,Everton,Queens Park Rangers,A
2,1,20-08-2011,2011/2012,Chelsea,West Bromwich Albion,H
0,1,20-08-2011,2011/2012,Sunderland,Newcastle United,A
0,0,20-08-2011,2011/2012,Swansea City,Wigan Athletic,D
2,3,21-08-2011,2011/2012,Bolton Wanderers,Manchester City,A
2,0,21-08-2011,2011/2012,Wolverhampton Wanderers,Fulham,H
1,1,21-08-2011,2011/2012,Norwich City,Stoke City,D
3,0,22-08-2011,2011/2012,Manchester United,Tottenham Hotspur,H
2,0,27-08-2011,2011/2012,Wigan Athletic,Queens Park Rangers,H
3,1,27-08-2011,2011/2012,Chelsea,Norwich City,H
0,1,27-08-2011,2011/2012,Blackburn Rovers,Everton,A
3,1,27-08-2011,2011/2012,Liverpool,Bolton Wanderers,H
0,0,27-08-2011,2011/2012,Aston Villa,Wolverhampton Wanderers,D
0,0,27-08-2011,2011/2012,Swansea City,Sunderland,D
8,2,28-08-2011,2011/2012,Manchester United,Arsenal,H
2,1,28-08-2011,2011/2012,Newcastle United,Fulham,H
1,5,28-08-2011,2011/2012,Tottenham Hotspur,Manchester City,A
0,1,28-08-2011,2011/2012,West Bromwich Albion,Stoke City,A
3,0,10-09-2011,2011/2012,Manchester City,Wigan Athletic,H
1,2,10-09-2011,2011/2012,Sunderland,Chelsea,A
1,0,10-09-2011,2011/2012,Arsenal,Swansea City,H
0,2,10-09-2011,2011/2012,Wolverhampton Wanderers,Tottenham Hotspur,A
