FTHG,FTAG,Date,season,HomeTeam,AwayTeam,FTR
1,4,17-08-2013,2013/2014,Swansea City,Manchester United,A
0,1,17-08-2013,2013/2014,Sunderland,Fulham,A
2,0,17-08-2013,2013/2014,West Ham United,Cardiff City,H
1,0,17-08-2013,2013/2014,Liverpool,Stoke City,H
2,2,17-08-2013,2013/2014,Norwich City,Everton,D
1,3,17-08-2013,2013/2014,Arsenal,Aston Villa,A
0,1,17-08-2013,2013/2014,West Bromwich Albion,Southampton,A
2,0,18-08-2013,2013/2014,Chelsea,Hull City,H
0,1,18-08-2013,2013/2014,Crystal Palace,Tottenham Hotspur,A
4,0,19-08-2013,2013/2014,Manchester City,Newcastle United,H
2,1,21-08-2013,2013/2014,Chelsea,Aston Villa,H
1,0,24-08-2013,2013/2014,Hull City,Norwich City,H
0,0,24-08-2013,2013/2014,Newcastle United,West Ham United,D
0,0,24-08-2013,2013/2014,Everton,West Bromwich Albion,D
1,3,24-08-2013,2013/2014,Fulham,Arsenal,A
2,1,24-08-2013,2013/2014,Stoke City,Crystal Palace,H
1,1,24-08-2013,2013/2014,Southampton,Sunderland,D
0,1,24-08-2013,2013/2014,Aston Villa,Liverpool,A
3,2,25-08-2013,2013/2014,Cardiff City,Manchester City,H
1,0,25-08-2013,2013/2014,Tottenham Hotspur,Swansea City,H
0,0,26-08-2013,2013/2014,Manchester United,Chelsea,D
3,1,31-08-2013,2013/2014,Crystal Palace,Sunderland,H
2,0,31-08-2013,2013/2014,Manchester City,Hull City,H
1,0,31-08-2013,2013/2014,Newcastle United,Fulham,H
0,0,31-08-2013,2013/2014,Cardiff City,Everton,D
0,1,31-08-2013,2013/2014,West Ham United,Stoke City,A
1,0,31-08-2013,2013/2014,Norwich City,Southampton,H
1,0,01-09-2013,2013/2014,Arsenal,Tottenham Hotspur,H
1,0,01-09-2013,2013/2014,Liverpool,Manchester United,H
0,2,01-09-2013,2013/2014,West Bromwich Albion,Swansea City,A
0,0,14-09-2013,2013/2014,Stoke City,Manchester City,D
2,0,14-09-2013,2013/2014,Tottenham Hotspur,Norwich City,H
1,1,14-09-2013,2013/2014,Hull City,Cardiff City,D
1,3,14-09-2013,2013/2014,Sunderland,Arsenal,A
2,0,14-09-2013,2013/2014,Manchester United,Crystal Palace,H
1,0,14-09-2013,2013/2014,Everton,Chelsea,H
1,2,14-09-2013,2013/2014,Aston Villa,Newcastle United,A
1,1,14-09-2013,2013/2014,Fulham,West Bromwich Albion,D
0,0,15-09-2013,2013/2014,Southampton,West Ham United,D
2,2,16-09-2013,2013/2014,Swansea City,Liverpool,D
0,1,21-09-2013,2013/2014,Norwich City,Aston Villa,A
3,0,21-09-2013,2013/2014,West Bromwich Albion,Sunderland,H
0,1,21-09-2013,2013/2014,Liverpool,Southampton,A
2,3,21-09-2013,2013/2014,West Ham United,Everton,A
2,0,21-09-2013,2013/2014,Chelsea,Fulham,H
2,3,21-09-2013,2013/2014,Newcastle United,Hull City,A
0,1,22-09-2013,2013/2014,Cardiff City,Tottenham Hotspur,A
3,1,22-09-2013,2013/2014,Arsenal,Stoke City,H
0,2,22-09-2013,2013/2014,Crystal Palace,Swansea City,A
4,1,22-09-2013,2013/2014,Manchester City,Manchester United,H
1,2,28-09-2013,2013/2014,Swansea City,Arsenal,A
1,1,28-09-2013,2013/2014,Tottenham Hotspur,Chelsea,D
1,2,28-09-2013,2013/2014,Manchester United,West Bromwich Albion,A
1,0,28-09-2013,2013/2014,Hull City,West Ham United,H
1,2,28-09-2013,2013/2014,Fulham,Cardiff City,A
3,2,28-09-2013,2013/2014,Aston Villa,Manchester City,H
2,0,28-09-2013,2013/2014,Southampton,Crystal Palace,H
0,1,29-09-2013,2013/2014,Stoke City,Norwich City,A
1,3,29-09-2013,2013/2014,Sunderland,Liverpool,A
3,2,30-09-2013,2013/2014,Everton,Newcastle United,H
0,0,05-10-2013,2013/2014,Hull City,Aston Villa,D
1,2,05-10-2013,2013/2014,Cardiff City,Newcastle United,A
1,0,05-10-2013,2013/2014,Fulham,Stoke City,H
3,1,05-10-2013,2013/2014,Liverpool,Crystal Palace,H
1,2,05-10-2013,2013/2014,Sunderland,Manchester United,A
3,1,05-10-2013,2013/2014,Manchester City,Everton,H
2,0,06-10-2013,2013/2014,Southampton,Swansea City,H
1,1,06-10-2013,2013/2014,West Bromwich Albion,Arsenal,D
1,3,06-10-2013,2013/2014,Norwich City,Chelsea,A
0,3,06-10-2013,2013/2014,Tottenham Hotspur,West Ham United,A
4,1,19-10-2013,2013/2014,Arsenal,Norwich City,H
1,3,19-10-2013,2013/2014,West Ham United,Manchester City,A
2,1,19-10-2013,2013/2014,Everton,Hull City,H
1,1,19-10-2013,2013/2014,Manchester United,Southampton,D
4,1,19-10-2013,2013/2014,Chelsea,Cardiff City,H
4,0,19-10-2013,2013/2014,Swansea City,Sunderland,H
0,0,19-10-2013,2013/2014,Stoke City,West Bromwich Albion,D
2,2,19-10-2013,2013/2014,Newcastle United,Liverpool,D
0,2,20-10-2013,2013/2014,Aston Villa,Tottenham Hotspur,A
1,4,21-10-2013,2013/2014,Crystal Palace,Fulham,A
2,0,26-10-2013,2013/2014,Southampton,Fulham,H
4,1,26-10-2013,2013/2014,Liverpool,West Bromwich Albion,H
0,2,26-10-2013,2013/2014,Crystal Palace,Arsenal,A
0,2,26-10-2013,2013/2014,Aston Villa,Everton,A
0,0,26-10-2013,2013/2014,Norwich City,Cardiff City,D
3,2,26-10-2013,2013/2014,Manchester United,Stoke City,H
0,0,27-10-2013,2013/2014,Swansea City,West Ham United,D
2,1,27-10-2013,2013/2014,Chelsea,Manchester City,H
1,0,27-10-2013,2013/2014,Tottenham Hotspur,Hull City,H
2,1,27-10-2013,2013/2014,Sunderland,Newcastle United,H
2,0,02-11-2013,2013/2014,West Bromwich Albion,Crystal Palace,H
0,0,02-11-2013,2013/2014,West Ham United,Aston Villa,D
1,3,02-11-2013,2013/2014,Fulham,Manchester United,A
2,0,02-11-2013,2013/2014,Newcastle United,Chelsea,H
2,0,02-11-2013,2013/2014,Arsenal,Liverpool,H
1,1,02-11-2013,2013/2014,Stoke City,Southampton,D
1,0,02-11-2013,2013/2014,Hull City,Sunderland,H
7,0,02-11-2013,2013/2014,Manchester City,Norwich City,H
0,0,03-11-2013,2013/2014,Everton,Tottenham Hotspur,D
1,0,03-11-2013,2013/2014,Cardiff City,Swansea City,H
0,0,09-11-2013,2013/2014,Crystal Palace,Everton,D
4,0,09-11-2013,2013/2014,Liverpool,Fulham,H
2,0,09-11-2013,2013/2014,Aston Villa,Cardiff City,H
2,2,09-11-2013,2013/2014,Chelsea,West Bromwich Albion,D
3,1,09-11-2013,2013/2014,Norwich City,West Ham United,H
