FTHG,FTAG,Date,season,HomeTeam,AwayTeam,FTR
1,0,18-12-2010,2010/2011,Sunderland,Bolton Wanderers,H
1,1,18-12-2010,2010/2011,Blackburn Rovers,West Ham United,D
1,2,20-12-2010,2010/2011,Manchester City,Everton,A
1,3,26-12-2010,2010/2011,Newcastle United,Manchester City,A
1,2,26-12-2010,2010/2011,Wolverhampton Wanderers,Wigan Athletic,A
2,0,26-12-2010,2010/2011,Manchester United,Sunderland,H
1,3,26-12-2010,2010/2011,Fulham,West Ham United,A
1,2,26-12-2010,2010/2011,Aston Villa,Tottenham Hotspur,A
0,2,26-12-2010,2010/2011,Blackburn Rovers,Stoke City,A
2,0,26-12-2010,2010/2011,Bolton Wanderers,West Bromwich Albion,H
3,1,27-12-2010,2010/2011,Arsenal,Chelsea,H
2,0,28-12-2010,2010/2011,Tottenham Hotspur,Newcastle United,H
0,2,28-12-2010,2010/2011,Sunderland,Blackpool,A
1,1,28-12-2010,2010/2011,Birmingham City,Manchester United,D
4,0,28-12-2010,2010/2011,Manchester City,Aston Villa,H
1,1,28-12-2010,2010/2011,West Ham United,Everton,D
0,2,28-12-2010,2010/2011,Stoke City,Fulham,A
1,3,28-12-2010,2010/2011,West Bromwich Albion,Blackburn Rovers,A
1,0,29-12-2010,2010/2011,Chelsea,Bolton Wanderers,H
0,1,29-12-2010,2010/2011,Liverpool,Wolverhampton Wanderers,A
2,2,29-12-2010,2010/2011,Wigan Athletic,Arsenal,D
2,1,01-01-2011,2010/2011,Liverpool,Bolton Wanderers,H
2,0,01-01-2011,2010/2011,West Ham United,Wolverhampton Wanderers,H
1,0,01-01-2011,2010/2011,Manchester City,Blackpool,H
0,3,01-01-2011,2010/2011,Birmingham City,Arsenal,A
3,0,01-01-2011,2010/2011,Sunderland,Blackburn Rovers,H
2,0,01-01-2011,2010/2011,Stoke City,Everton,H
1,2,01-01-2011,2010/2011,West Bromwich Albion,Manchester United,A
1,0,01-01-2011,2010/2011,Tottenham Hotspur,Fulham,H
3,3,02-01-2011,2010/2011,Chelsea,Aston Villa,D
0,1,02-01-2011,2010/2011,Wigan Athletic,Newcastle United,A
2,1,04-01-2011,2010/2011,Manchester United,Stoke City,H
3,0,04-01-2011,2010/2011,Fulham,West Bromwich Albion,H
1,2,04-01-2011,2010/2011,Blackpool,Birmingham City,A
1,1,05-01-2011,2010/2011,Bolton Wanderers,Wigan Athletic,D
5,0,05-01-2011,2010/2011,Newcastle United,West Ham United,H
0,1,05-01-2011,2010/2011,Aston Villa,Sunderland,A
0,0,05-01-2011,2010/2011,Arsenal,Manchester City,D
3,1,05-01-2011,2010/2011,Blackburn Rovers,Liverpool,H
1,0,05-01-2011,2010/2011,Wolverhampton Wanderers,Chelsea,H
2,1,05-01-2011,2010/2011,Everton,Tottenham Hotspur,H
2,1,12-01-2011,2010/2011,Blackpool,Liverpool,H
1,1,15-01-2011,2010/2011,Wigan Athletic,Fulham,D
4,3,15-01-2011,2010/2011,Manchester City,Wolverhampton Wanderers,H
0,3,15-01-2011,2010/2011,West Ham United,Arsenal,A
2,0,15-01-2011,2010/2011,Chelsea,Blackburn Rovers,H
3,2,15-01-2011,2010/2011,West Bromwich Albion,Blackpool,H
2,0,15-01-2011,2010/2011,Stoke City,Bolton Wanderers,H
1,1,16-01-2011,2010/2011,Birmingham City,Aston Villa,D
0,0,16-01-2011,2010/2011,Tottenham Hotspur,Manchester United,D
2,2,16-01-2011,2010/2011,Liverpool,Everton,D
1,1,16-01-2011,2010/2011,Sunderland,Newcastle United,D
5,0,22-01-2011,2010/2011,Manchester United,Birmingham City,H
1,1,22-01-2011,2010/2011,Newcastle United,Tottenham Hotspur,D
3,0,22-01-2011,2010/2011,Arsenal,Wigan Athletic,H
2,0,22-01-2011,2010/2011,Fulham,Stoke City,H
1,0,22-01-2011,2010/2011,Aston Villa,Manchester City,H
0,3,22-01-2011,2010/2011,Wolverhampton Wanderers,Liverpool,A
1,2,22-01-2011,2010/2011,Blackpool,Sunderland,A
2,2,22-01-2011,2010/2011,Everton,West Ham United,D
2,0,23-01-2011,2010/2011,Blackburn Rovers,West Bromwich Albion,H
0,4,24-01-2011,2010/2011,Bolton Wanderers,Chelsea,A
2,3,25-01-2011,2010/2011,Blackpool,Manchester United,A
1,2,25-01-2011,2010/2011,Wigan Athletic,Aston Villa,A
1,0,26-01-2011,2010/2011,Liverpool,Fulham,H
2,2,01-02-2011,2010/2011,West Bromwich Albion,Wigan Athletic,D
2,4,01-02-2011,2010/2011,Sunderland,Chelsea,A
3,1,01-02-2011,2010/2011,Manchester United,Aston Villa,H
2,1,01-02-2011,2010/2011,Arsenal,Everton,H
2,0,02-02-2011,2010/2011,Liverpool,Stoke City,H
1,0,02-02-2011,2010/2011,Bolton Wanderers,Wolverhampton Wanderers,H
1,3,02-02-2011,2010/2011,Blackpool,West Ham United,A
0,1,02-02-2011,2010/2011,Blackburn Rovers,Tottenham Hotspur,A
1,0,02-02-2011,2010/2011,Fulham,Newcastle United,H
2,2,02-02-2011,2010/2011,Birmingham City,Manchester City,D
4,4,05-02-2011,2010/2011,Newcastle United,Arsenal,D
5,3,05-02-2011,2010/2011,Everton,Blackpool,H
2,2,05-02-2011,2010/2011,Aston Villa,Fulham,D
3,0,05-02-2011,2010/2011,Manchester City,West Bromwich Albion,H
2,1,05-02-2011,2010/2011,Tottenham Hotspur,Bolton Wanderers,H
4,3,05-02-2011,2010/2011,Wigan Athletic,Blackburn Rovers,H
2,1,05-02-2011,2010/2011,Wolverhampton Wanderers,Manchester United,H
3,2,05-02-2011,2010/2011,Stoke City,Sunderland,H
0,1,06-02-2011,2010/2011,West Ham United,Birmingham City,A
0,1,06-02-2011,2010/2011,Chelsea,Liverpool,A
3,3,12-02-2011,2010/2011,West Bromwich Albion,West Ham United,D
0,0,12-02-2011,2010/2011,Blackburn Rovers,Newcastle United,D
2,1,12-02-2011,2010/2011,Manchester United,Manchester City,H
1,1,12-02-2011,2010/2011,Liverpool,Wigan Athletic,D
2,0,12-02-2011,2010/2011,Arsenal,Wolverhampton Wanderers,H
1,1,12-02-2011,2010/2011,Blackpool,Aston Villa,D
1,2,12-02-2011,2010/2011,Sunderland,Tottenham Hotspur,A
1,0,12-02-2011,2010/2011,Birmingham City,Stoke City,H
2,0,13-02-2011,2010/2011,Bolton Wanderers,Everton,H
0,0,14-02-2011,2010/2011,Fulham,Chelsea,D
0,2,15-02-2011,2010/2011,Birmingham City,Newcastle United,A
1,1,20-02-2011,2010/2011,West Bromwich Albion,Wolverhampton Wanderers,D
3,1,22-02-2011,2010/2011,Blackpool,Tottenham Hotspur,H
1,0,23-02-2011,2010/2011,Arsenal,Stoke City,H
4,1,26-02-2011,2010/2011,Aston Villa,Blackburn Rovers,H
1,1,26-02-2011,2010/2011,Newcastle United,Bolton Wanderers,D
2,0,26-02-2011,2010/2011,Everton,Sunderland,H
0,4,26-02-2011,2010/2011,Wigan Athletic,Manchester United,A
4,0,26-02-2011,2010/2011,Wolverhampton Wanderers,Blackpool,H
3,1,27-02-2011,2010/2011,West Ham United,Liverpool,H
1,1,27-02-2011,2010/2011,Manchester City,Fulham,D
1,1,28-02-2011,2010/2011,Stoke City,West Bromwich Albion,D
2,1,01-03-2011,2010/2011,Chelsea,Manchester United,H
0,0,05-03-2011,2010/2011,Arsenal,Sunderland,D
3,0,05-03-2011,2010/2011,West Ham United,Stoke City,H
1,0,05-03-2011,2010/2011,Manchester City,Wigan Athletic,H
1,3,05-03-2011,2010/2011,Birmingham City,West Bromwich Albion,A
3,2,05-03-2011,2010/2011,Fulham,Blackburn Rovers,H
1,2,05-03-2011,2010/2011,Newcastle United,Everton,A
3,2,05-03-2011,2010/2011,Bolton Wanderers,Aston Villa,H
3,1,06-03-2011,2010/2011,Liverpool,Manchester United,H
3,3,06-03-2011,2010/2011,Wolverhampton Wanderers,Tottenham Hotspur,D
1,3,07-03-2011,2010/2011,Blackpool,Chelsea,A
1,1,09-03-2011,2010/2011,Everton,Birmingham City,D
2,1,19-03-2011,2010/2011,Everton,Fulham,H
2,2,19-03-2011,2010/2011,West Bromwich Albion,Arsenal,D
2,2,19-03-2011,2010/2011,Blackburn Rovers,Blackpool,D
2,1,19-03-2011,2010/2011,Wigan Athletic,Birmingham City,H
1,0,19-03-2011,2010/2011,Manchester United,Bolton Wanderers,H
4,0,19-03-2011,2010/2011,Stoke City,Newcastle United,H
0,0,19-03-2011,2010/2011,Tottenham Hotspur,West Ham United,D
0,1,19-03-2011,2010/2011,Aston Villa,Wolverhampton Wanderers,A
0,2,20-03-2011,2010/2011,Sunderland,Liverpool,A
2,0,20-03-2011,2010/2011,Chelsea,Manchester City,H
1,1,02-04-2011,2010/2011,Stoke City,Chelsea,D
4,1,02-04-2011,2010/2011,Newcastle United,Wolverhampton Wanderers,H
2,1,02-04-2011,2010/2011,Birmingham City,Bolton Wanderers,H
2,1,02-04-2011,2010/2011,West Bromwich Albion,Liverpool,H
2,4,02-04-2011,2010/2011,West Ham United,Manchester United,A
0,0,02-04-2011,2010/2011,Wigan Athletic,Tottenham Hotspur,D
0,0,02-04-2011,2010/2011,Arsenal,Blackburn Rovers,D
2,2,02-04-2011,2010/2011,Everton,Aston Villa,D
5,0,03-04-2011,2010/2011,Manchester City,Sunderland,H
3,0,03-04-2011,2010/2011,Fulham,Blackpool,H
1,0,09-04-2011,2010/2011,Chelsea,Wigan Athletic,H
3,2,09-04-2011,2010/2011,Tottenham Hotspur,Stoke City,H
1,1,09-04-2011,2010/2011,Blackburn Rovers,Birmingham City,D
3,0,09-04-2011,2010/2011,Bolton Wanderers,West Ham United,H
0,3,09-04-2011,2010/2011,Wolverhampton Wanderers,Everton,A
2,3,09-04-2011,2010/2011,Sunderland,West Bromwich Albion,A
2,0,09-04-2011,2010/2011,Manchester United,Fulham,H
1,0,10-04-2011,2010/2011,Aston Villa,Newcastle United,H
1,3,10-04-2011,2010/2011,Blackpool,Arsenal,A
3,0,11-04-2011,2010/2011,Liverpool,Manchester City,H
1,2,16-04-2011,2010/2011,West Ham United,Aston Villa,A
2,0,16-04-2011,2010/2011,Birmingham City,Sunderland,H
1,3,16-04-2011,2010/2011,Blackpool,Wigan Athletic,A
2,0,16-04-2011,2010/2011,Everton,Blackburn Rovers,H
1,3,16-04-2011,2010/2011,West Bromwich Albion,Chelsea,A
1,1,17-04-2011,2010/2011,Arsenal,Liverpool,D
0,0,19-04-2011,2010/2011,Newcastle United,Manchester United,D
3,1,20-04-2011,2010/2011,Chelsea,Birmingham City,H
3,3,20-04-2011,2010/2011,Tottenham Hotspur,Arsenal,D
4,2,23-04-2011,2010/2011,Sunderland,Wigan Athletic,H
1,1,23-04-2011,2010/2011,Blackpool,Newcastle United,D
3,0,23-04-2011,2010/2011,Chelsea,West Ham United,H
1,1,23-04-2011,2010/2011,Aston Villa,Stoke City,D
1,0,23-04-2011,2010/2011,Manchester United,Everton,H
2,2,23-04-2011,2010/2011,Tottenham Hotspur,West Bromwich Albion,D
5,0,23-04-2011,2010/2011,Liverpool,Birmingham City,H
1,1,23-04-2011,2010/2011,Wolverhampton Wanderers,Fulham,D
2,1,24-04-2011,2010/2011,Bolton Wanderers,Arsenal,H
0,1,25-04-2011,2010/2011,Blackburn Rovers,Manchester City,A
3,0,26-04-2011,2010/2011,Stoke City,Wolverhampton Wanderers,H
3,0,27-04-2011,2010/2011,Fulham,Bolton Wanderers,H
0,3,30-04-2011,2010/2011,Sunderland,Fulham,A
2,1,30-04-2011,2010/2011,Chelsea,Tottenham Hotspur,H
1,1,30-04-2011,2010/2011,Wigan Athletic,Everton,D
1,0,30-04-2011,2010/2011,Blackburn Rovers,Bolton Wanderers,H
0,0,30-04-2011,2010/2011,Blackpool,Stoke City,D
2,1,30-04-2011,2010/2011,West Bromwich Albion,Aston Villa,H
1,1,01-05-2011,2010/2011,Birmingham City,Wolverhampton Wanderers,D
2,1,01-05-2011,2010/2011,Manchester City,West Ham United,H
1,0,01-05-2011,2010/2011,Arsenal,Manchester United,H
3,0,01-05-2011,2010/2011,Liverpool,Newcastle United,H
1,1,07-05-2011,2010/2011,Tottenham Hotspur,Blackpool,D
1,2,07-05-2011,2010/2011,Bolton Wanderers,Sunderland,A
1,1,07-05-2011,2010/2011,West Ham United,Blackburn Rovers,D
2,1,07-05-2011,2010/2011,Newcastle United,Birmingham City,H
1,1,07-05-2011,2010/2011,Aston Villa,Wigan Athletic,D
2,1,07-05-2011,2010/2011,Everton,Manchester City,H
3,1,08-05-2011,2010/2011,Stoke City,Arsenal,H
3,1,08-05-2011,2010/2011,Wolverhampton Wanderers,West Bromwich Albion,H
2,1,08-05-2011,2010/2011,Manchester United,Chelsea,H
2,5,09-05-2011,2010/2011,Fulham,Liverpool,A
1,0,10-05-2011,2010/2011,Manchester City,Tottenham Hotspur,H
4,3,14-05-2011,2010/2011,Blackpool,Bolton Wanderers,H
1,0,14-05-2011,2010/2011,West Bromwich Albion,Everton,H
1,3,14-05-2011,2010/2011,Sunderland,Wolverhampton Wanderers,A
1,1,14-05-2011,2010/2011,Blackburn Rovers,Manchester United,D
2,2,15-05-2011,2010/2011,Chelsea,Newcastle United,D
0,2,15-05-2011,2010/2011,Birmingham City,Fulham,A
1,2,15-05-2011,2010/2011,Arsenal,Aston Villa,A
0,2,15-05-2011,2010/2011,Liverpool,Tottenham Hotspur,A
3,2,15-05-2011,2010/2011,Wigan Athletic,West Ham United,H
3,0,17-05-2011,2010/2011,Manchester City,Stoke City,H
2,3,22-05-2011,2010/2011,Wolverhampton Wanderers,Blackburn Rovers,A
2,2,22-05-2011,2010/2011,Fulham,Arsenal,D
1,0,22-05-2011,2010/2011,Everton,Chelsea,H
0,3,22-05-2011,2010/2011,West Ham United,Sunderland,A
3,3,22-05-2011,2010/2011,Newcastle United,West Bromwich Albion,D
4,2,22-05-2011,2010/2011,Manchester United,Blackpool,H
0,2,22-05-2011,2010/2011,Bolton Wanderers,Manchester City,A
0,1,22-05-2011,2010/2011,Stoke City,Wigan Athletic,A
2,1,22-05-2011,2010/2011,Tottenham Hotspur,Birmingham City,H
1,0,22-05-2011,2010/2011,Aston Villa,Liverpool,H
