FTHG,FTAG,Date,season,HomeTeam,AwayTeam,FTR
3,0,14-08-2010,2010/2011,Aston Villa,West Ham United,H
2,1,14-08-2010,2010/2011,Wolverhampton Wanderers,Stoke City,H
0,4,14-08-2010,2010/2011,Wigan Athletic,Blackpool,A
1,0,14-08-2010,2010/2011,Blackburn Rovers,Everton,H
0,0,14-08-2010,2010/2011,Bolton Wanderers,Fulham,D
2,2,14-08-2010,2010/2011,Sunderland,Birmingham City,D
6,0,14-08-2010,2010/2011,Chelsea,West Bromwich Albion,H
0,0,14-08-2010,2010/2011,Tottenham Hotspur,Manchester City,D
1,1,15-08-2010,2010/2011,Liverpool,Arsenal,D
3,0,16-08-2010,2010/2011,Manchester United,Newcastle United,H
1,3,21-08-2010,2010/2011,West Ham United,Bolton Wanderers,A
1,1,21-08-2010,2010/2011,Everton,Wolverhampton Wanderers,D
2,1,21-08-2010,2010/2011,Birmingham City,Blackburn Rovers,H
6,0,21-08-2010,2010/2011,Arsenal,Blackpool,H
0,6,21-08-2010,2010/2011,Wigan Athletic,Chelsea,A
1,0,21-08-2010,2010/2011,West Bromwich Albion,Sunderland,H
1,2,21-08-2010,2010/2011,Stoke City,Tottenham Hotspur,A
6,0,22-08-2010,2010/2011,Newcastle United,Aston Villa,H
2,2,22-08-2010,2010/2011,Fulham,Manchester United,D
3,0,23-08-2010,2010/2011,Manchester City,Liverpool,H
2,0,28-08-2010,2010/2011,Chelsea,Stoke City,H
0,1,28-08-2010,2010/2011,Tottenham Hotspur,Wigan Athletic,A
1,2,28-08-2010,2010/2011,Blackburn Rovers,Arsenal,A
2,2,28-08-2010,2010/2011,Blackpool,Fulham,D
1,1,28-08-2010,2010/2011,Wolverhampton Wanderers,Newcastle United,D
3,0,28-08-2010,2010/2011,Manchester United,West Ham United,H
1,0,29-08-2010,2010/2011,Sunderland,Manchester City,H
2,2,29-08-2010,2010/2011,Bolton Wanderers,Birmingham City,D
1,0,29-08-2010,2010/2011,Liverpool,West Bromwich Albion,H
1,0,29-08-2010,2010/2011,Aston Villa,Everton,H
0,2,11-09-2010,2010/2011,Newcastle United,Blackpool,A
1,1,11-09-2010,2010/2011,West Bromwich Albion,Tottenham Hotspur,D
1,1,11-09-2010,2010/2011,Wigan Athletic,Sunderland,D
1,1,11-09-2010,2010/2011,Manchester City,Blackburn Rovers,D
1,3,11-09-2010,2010/2011,West Ham United,Chelsea,A
3,3,11-09-2010,2010/2011,Everton,Manchester United,D
2,1,11-09-2010,2010/2011,Fulham,Wolverhampton Wanderers,H
4,1,11-09-2010,2010/2011,Arsenal,Bolton Wanderers,H
0,0,12-09-2010,2010/2011,Birmingham City,Liverpool,D
2,1,13-09-2010,2010/2011,Stoke City,Aston Villa,H
0,1,18-09-2010,2010/2011,Everton,Newcastle United,A
3,1,18-09-2010,2010/2011,Tottenham Hotspur,Wolverhampton Wanderers,H
1,1,18-09-2010,2010/2011,Aston Villa,Bolton Wanderers,D
1,1,18-09-2010,2010/2011,Blackburn Rovers,Fulham,D
3,1,18-09-2010,2010/2011,West Bromwich Albion,Birmingham City,H
1,1,18-09-2010,2010/2011,Stoke City,West Ham United,D
1,1,18-09-2010,2010/2011,Sunderland,Arsenal,D
4,0,19-09-2010,2010/2011,Chelsea,Blackpool,H
3,2,19-09-2010,2010/2011,Manchester United,Liverpool,H
0,2,19-09-2010,2010/2011,Wigan Athletic,Manchester City,A
0,0,25-09-2010,2010/2011,Birmingham City,Wigan Athletic,D
1,0,25-09-2010,2010/2011,Manchester City,Chelsea,H
2,2,25-09-2010,2010/2011,Liverpool,Sunderland,D
1,2,25-09-2010,2010/2011,Blackpool,Blackburn Rovers,A
2,3,25-09-2010,2010/2011,Arsenal,West Bromwich Albion,A
1,0,25-09-2010,2010/2011,West Ham United,Tottenham Hotspur,H
0,0,25-09-2010,2010/2011,Fulham,Everton,D
1,2,26-09-2010,2010/2011,Newcastle United,Stoke City,A
2,2,26-09-2010,2010/2011,Bolton Wanderers,Manchester United,D
1,2,26-09-2010,2010/2011,Wolverhampton Wanderers,Aston Villa,A
0,2,02-10-2010,2010/2011,Birmingham City,Everton,A
1,1,02-10-2010,2010/2011,West Bromwich Albion,Bolton Wanderers,D
1,1,02-10-2010,2010/2011,West Ham United,Fulham,D
2,0,02-10-2010,2010/2011,Wigan Athletic,Wolverhampton Wanderers,H
1,0,02-10-2010,2010/2011,Stoke City,Blackburn Rovers,H
2,1,02-10-2010,2010/2011,Tottenham Hotspur,Aston Villa,H
0,0,02-10-2010,2010/2011,Sunderland,Manchester United,D
2,0,03-10-2010,2010/2011,Chelsea,Arsenal,H
2,1,03-10-2010,2010/2011,Manchester City,Newcastle United,H
1,2,03-10-2010,2010/2011,Liverpool,Blackpool,A
2,1,16-10-2010,2010/2011,Bolton Wanderers,Stoke City,H
2,2,16-10-2010,2010/2011,Newcastle United,Wigan Athletic,D
1,2,16-10-2010,2010/2011,Fulham,Tottenham Hotspur,A
1,1,16-10-2010,2010/2011,Wolverhampton Wanderers,West Ham United,D
0,0,16-10-2010,2010/2011,Aston Villa,Chelsea,D
2,2,16-10-2010,2010/2011,Manchester United,West Bromwich Albion,D
2,1,16-10-2010,2010/2011,Arsenal,Birmingham City,H
2,3,17-10-2010,2010/2011,Blackpool,Manchester City,A
2,0,17-10-2010,2010/2011,Everton,Liverpool,H
0,0,18-10-2010,2010/2011,Blackburn Rovers,Sunderland,D
1,0,23-10-2010,2010/2011,Sunderland,Aston Villa,H
1,1,23-10-2010,2010/2011,Wigan Athletic,Bolton Wanderers,D
2,0,23-10-2010,2010/2011,Chelsea,Wolverhampton Wanderers,H
2,1,23-10-2010,2010/2011,West Bromwich Albion,Fulham,H
1,2,23-10-2010,2010/2011,West Ham United,Newcastle United,A
1,1,23-10-2010,2010/2011,Tottenham Hotspur,Everton,D
2,0,23-10-2010,2010/2011,Birmingham City,Blackpool,H
1,2,24-10-2010,2010/2011,Stoke City,Manchester United,A
0,3,24-10-2010,2010/2011,Manchester City,Arsenal,A
2,1,24-10-2010,2010/2011,Liverpool,Blackburn Rovers,H
1,0,30-10-2010,2010/2011,Everton,Stoke City,H
2,1,30-10-2010,2010/2011,Wolverhampton Wanderers,Manchester City,H
2,0,30-10-2010,2010/2011,Manchester United,Tottenham Hotspur,H
1,2,30-10-2010,2010/2011,Blackburn Rovers,Chelsea,A
2,0,30-10-2010,2010/2011,Fulham,Wigan Athletic,H
1,0,30-10-2010,2010/2011,Arsenal,West Ham United,H
0,1,31-10-2010,2010/2011,Bolton Wanderers,Liverpool,A
0,0,31-10-2010,2010/2011,Aston Villa,Birmingham City,D
5,1,31-10-2010,2010/2011,Newcastle United,Sunderland,H
2,1,01-11-2010,2010/2011,Blackpool,West Bromwich Albion,H
2,1,06-11-2010,2010/2011,Manchester United,Wolverhampton Wanderers,H
2,2,06-11-2010,2010/2011,Blackpool,Everton,D
2,0,06-11-2010,2010/2011,Sunderland,Stoke City,H
2,1,06-11-2010,2010/2011,Blackburn Rovers,Wigan Athletic,H
2,2,06-11-2010,2010/2011,Birmingham City,West Ham United,D
4,2,06-11-2010,2010/2011,Bolton Wanderers,Tottenham Hotspur,H
1,1,06-11-2010,2010/2011,Fulham,Aston Villa,D
0,2,07-11-2010,2010/2011,West Bromwich Albion,Manchester City,A
2,0,07-11-2010,2010/2011,Liverpool,Chelsea,H
0,1,07-11-2010,2010/2011,Arsenal,Newcastle United,A
3,2,09-11-2010,2010/2011,Stoke City,Birmingham City,H
1,1,09-11-2010,2010/2011,Tottenham Hotspur,Sunderland,D
0,2,10-11-2010,2010/2011,Wolverhampton Wanderers,Arsenal,A
1,0,10-11-2010,2010/2011,Chelsea,Fulham,H
0,0,10-11-2010,2010/2011,Manchester City,Manchester United,D
1,1,10-11-2010,2010/2011,Wigan Athletic,Liverpool,D
2,2,10-11-2010,2010/2011,West Ham United,West Bromwich Albion,D
1,2,10-11-2010,2010/2011,Newcastle United,Blackburn Rovers,A
1,1,10-11-2010,2010/2011,Everton,Bolton Wanderers,D
3,2,10-11-2010,2010/2011,Aston Villa,Blackpool,H
4,2,13-11-2010,2010/2011,Tottenham Hotspur,Blackburn Rovers,H
0,0,13-11-2010,2010/2011,Newcastle United,Fulham,D
0,0,13-11-2010,2010/2011,Manchester City,Birmingham City,D
1,0,13-11-2010,2010/2011,Wigan Athletic,West Bromwich Albion,H
2,2,13-11-2010,2010/2011,Aston Villa,Manchester United,D
2,3,13-11-2010,2010/2011,Wolverhampton Wanderers,Bolton Wanderers,A
0,0,13-11-2010,2010/2011,West Ham United,Blackpool,D
2,0,13-11-2010,2010/2011,Stoke City,Liverpool,H
1,2,14-11-2010,2010/2011,Everton,Arsenal,A
0,3,14-11-2010,2010/2011,Chelsea,Sunderland,A
5,1,20-11-2010,2010/2011,Bolton Wanderers,Newcastle United,H
2,3,20-11-2010,2010/2011,Arsenal,Tottenham Hotspur,A
3,0,20-11-2010,2010/2011,Liverpool,West Ham United,H
2,0,20-11-2010,2010/2011,Manchester United,Wigan Athletic,H
0,3,20-11-2010,2010/2011,West Bromwich Albion,Stoke City,A
2,1,20-11-2010,2010/2011,Blackpool,Wolverhampton Wanderers,H
1,0,20-11-2010,2010/2011,Birmingham City,Chelsea,H
2,0,21-11-2010,2010/2011,Blackburn Rovers,Aston Villa,H
1,4,21-11-2010,2010/2011,Fulham,Manchester City,A
2,2,22-11-2010,2010/2011,Sunderland,Everton,D
1,1,27-11-2010,2010/2011,Stoke City,Manchester City,D
2,4,27-11-2010,2010/2011,Aston Villa,Arsenal,A
1,4,27-11-2010,2010/2011,Everton,West Bromwich Albion,A
3,1,27-11-2010,2010/2011,West Ham United,Wigan Athletic,H
1,1,27-11-2010,2010/2011,Fulham,Birmingham City,D
2,2,27-11-2010,2010/2011,Bolton Wanderers,Blackpool,D
3,2,27-11-2010,2010/2011,Wolverhampton Wanderers,Sunderland,H
7,1,27-11-2010,2010/2011,Manchester United,Blackburn Rovers,H
1,1,28-11-2010,2010/2011,Newcastle United,Chelsea,D
2,1,28-11-2010,2010/2011,Tottenham Hotspur,Liverpool,H
3,0,04-12-2010,2010/2011,Blackburn Rovers,Wolverhampton Wanderers,H
1,0,04-12-2010,2010/2011,Manchester City,Bolton Wanderers,H
2,1,04-12-2010,2010/2011,Arsenal,Fulham,H
1,1,04-12-2010,2010/2011,Birmingham City,Tottenham Hotspur,D
2,2,04-12-2010,2010/2011,Wigan Athletic,Stoke City,D
1,1,04-12-2010,2010/2011,Chelsea,Everton,D
1,0,05-12-2010,2010/2011,Sunderland,West Ham United,H
3,1,05-12-2010,2010/2011,West Bromwich Albion,Newcastle United,H
3,0,06-12-2010,2010/2011,Liverpool,Aston Villa,H
3,1,11-12-2010,2010/2011,Newcastle United,Liverpool,H
0,1,11-12-2010,2010/2011,Stoke City,Blackpool,A
0,0,11-12-2010,2010/2011,Everton,Wigan Athletic,D
2,1,11-12-2010,2010/2011,Aston Villa,West Bromwich Albion,H
0,0,11-12-2010,2010/2011,Fulham,Sunderland,D
1,3,11-12-2010,2010/2011,West Ham United,Manchester City,A
1,0,12-12-2010,2010/2011,Wolverhampton Wanderers,Birmingham City,H
1,1,12-12-2010,2010/2011,Tottenham Hotspur,Chelsea,D
2,1,12-12-2010,2010/2011,Bolton Wanderers,Blackburn Rovers,H
1,0,13-12-2010,2010/2011,Manchester United,Arsenal,H
